idlink,dataN-2,dataN-1,dataN,eqtype,acmLowerMode,freqband,bandwidth,acmEngine,esN-2,sesN-2,txMaxAN-2,txminAN-2,rxmaxAN-2,rxminAN-2,txMaxBN-2,txminBN-2,rxmaxBN-2,rxminBN-2,esN-1,sesN-1,txMaxAN-1,txminAN-1,rxmaxAN-1,rxminAN-1,txMaxBN-1,txminBN-1,rxmaxBN-1,rxminBN-1,esN,sesN,txMaxAN,txminAN,rxmaxAN,rxminAN,txMaxBN,txminBN,rxmaxBN,rxminBN,lowthr,ptx,RxNominal,Thr_min
287,2019-05-28T15:30:00.000+02:00,2019-05-28T15:45:00.000+02:00,2019-05-28T16:00:00.000+02:00,19,2,18,28.0,1,0,0,18.0,18.0,-48.0,-49.0,18.0,18.0,-49.0,-50.0,0,0,20.0,18.0,-48.0,-72.0,22.0,18.0,-49.0,-75.0,18,0,22.0,19.0,-69.0,-90.0,22.0,22.0,-72.0,-93.0,-85.0,23,-44,-86
287,2019-05-28T15:45:00.000+02:00,2019-05-28T16:00:00.000+02:00,2019-05-28T16:15:00.000+02:00,19,2,18,28.0,1,0,0,20.0,18.0,-48.0,-72.0,22.0,18.0,-49.0,-75.0,18,0,22.0,19.0,-69.0,-90.0,22.0,22.0,-72.0,-93.0,86,1,22.0,19.0,-71.0,-94.0,22.0,19.0,-70.0,-91.0,-85.0,23,-44,-86
