EQTYPE,FREQBAND,LOWERMOD,BANDWITDH,PTX,PTH,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
19,8,4,56,26,-77.0,,,,,,,,
19,8,6,7,26,-81.0,,,,,,,,
19,8,6,14,26,-78.5,,,,,,,,
19,8,6,28,26,-75.5,,,,,,,,
19,8,6,56,26,-73.5,,,,,,,,
19,8,7,7,25,-78.5,,,,,,,,
19,8,7,14,25,-76.5,,,,,,,,
19,8,7,28,25,-73.5,,,,,,,,
19,8,7,56,25,-72.0,,,,,,,,
19,8,8,7,25,-77.0,,,,,,,,
19,8,8,14,25,-74.0,,,,,,,,
19,8,8,28,25,-71.5,,,,,,,,
19,8,8,56,25,-69.0,,,,,,,,
19,8,9,7,24,-74.0,,,,,,,,
19,8,9,14,24,-71.0,,,,,,,,
19,8,9,28,24,-68.5,,,,,,,,
19,8,9,56,24,-65.5,,,,,,,,
19,10,1,7,28,-92.5,,,,,,,,
19,10,1,14,28,-90.0,,,,,,,,
19,10,1,28,28,-87.0,,,,,,,,
19,10,1,56,28,-84.5,,,,,,,,
19,10,2,7,28,-88.5,,,,,,,,
19,10,2,14,28,-88.0,,,,,,,,
19,10,2,28,28,-85.5,,,,,,,,
19,10,2,56,28,-83.0,,,,,,,,
19,10,3,7,28,-86.0,,,,,,,,
19,10,3,14,28,-84.0,,,,,,,,
19,10,3,28,28,-80.0,,,,,,,,
19,10,3,56,28,-77.5,,,,,,,,
19,10,4,7,25,-83.0,,,,,,,,
19,10,4,14,25,-81.5,,,,,,,,
19,10,4,28,25,-78.5,,,,,,,,
19,10,4,56,25,-76.5,,,,,,,,
19,10,6,7,25,-80.5,,,,,,,,
19,10,6,14,25,-78.0,,,,,,,,
19,10,6,28,25,-75.0,,,,,,,,
19,10,6,56,25,-73.0,,,,,,,,
19,10,7,7,24,-78.0,,,,,,,,
19,10,7,14,24,-76.0,,,,,,,,
19,10,7,28,24,-73.0,,,,,,,,
19,10,7,56,24,-71.5,,,,,,,,
19,10,8,7,24,-76.5,,,,,,,,
19,10,8,14,24,-73.5,,,,,,,,
19,10,8,28,24,-71.0,,,,,,,,
19,10,8,56,24,-68.5,,,,,,,,
19,10,9,7,23,-73.5,,,,,,,,
19,10,9,14,23,-70.5,,,,,,,,
19,10,9,28,23,-68.0,,,,,,,,
